site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
,21,2023,4,28,1000,14.69,15.98,15.55,85.2,93.9,90.7,15.15,16.7,16.02,0.79,1.47,924,0.18,125.9,71.21,329.7,20.75
,21,2023,4,28,1100,15.5,18.29,17.02,62.98,92.8,81.5,13.02,17.85,15.77,1.19,2.37,1015,0.46,194.3,63.49,1128,61.56
,21,2023,4,28,1200,17.71,19.65,18.76,52.44,78.9,65.95,11.63,16.57,14.24,1.06,1.97,1119,0.21,210.9,72.62,1128,62.18
,21,2023,4,28,1300,17.95,20.74,19.42,46.45,71.21,57.52,11.13,15.28,12.94,1.36,2.68,1207,0.29,214.7,71.75,1254,66.14
,21,2023,4,28,1400,18.97,20.98,20.25,44.01,68.53,57.16,10.7,15.48,13.55,1.21,2.36,1359,0.55,214.4,59.87,1329,69.64
,21,2023,4,28,1500,19.24,21.15,20.18,45.57,68.19,53.65,11.01,15.4,12.66,0.97,1.75,1434,0.13,182.8,75.55,635.1,33.91
,21,2023,4,28,1600,18.09,19.38,18.77,53.12,66.38,58.04,11.64,14.68,12.56,1.28,2.36,1516,0.21,237.7,74.03,352,18.46
,21,2023,4,28,1700,18.22,19.45,18.71,53.94,65.3,59.59,11.88,13.83,12.85,0.8,1.81,1650,0.11,240,75.29,219.5,11.03
,21,2023,4,28,1800,17.07,18.56,17.78,57.81,70.5,63.75,12.04,13.98,12.96,0.66,1.52,1756,0.23,17.48,65.55,91.5,4.78
,21,2023,4,28,1900,17.13,18.09,17.51,58.15,68.36,62.47,11.65,13.62,12.49,0.96,2.45,1843,0.29,228.7,67.76,39.86,2.04
,21,2023,4,28,2000,15.5,17.34,16.45,62.3,76.93,68.02,12.25,13.6,12.7,0.82,1.81,1956,0.09,71.83,76.42,2.17,0.07
,21,2023,4,28,2100,15.74,16.32,16.11,67,71.69,68.72,12.32,13.04,12.57,0.86,1.68,2018,0.12,233.5,75.34,0,-0.04
,21,2023,4,28,2200,15.3,15.85,15.52,68.47,75.1,71.19,12.07,13.22,12.55,0.72,1.93,2158,0.29,2.24,62.83,0,-0.01
,21,2023,4,28,2300,13.13,15.58,14.17,69.25,83,77.43,12.15,12.87,12.49,0.52,1.17,2211,0.33,30.58,49.04,0,0.03
,21,2023,4,28,2400,12.89,13.95,13.3,77.28,86.5,82.8,12.26,13.08,12.64,0.43,0.83,2333,0.27,353.3,49.31,0,0.02
,21,2023,4,29,100,12.45,13.4,12.92,81.5,88.6,85.5,12.42,13.02,12.72,0.38,1.08,6,0.19,357.1,57.45,0,0.02
,21,2023,4,29,200,11.9,12.45,12.18,86.7,91.2,89,12.38,13.09,12.62,0.33,0.65,134,0.19,23.9,53.75,0,0.03
,21,2023,4,29,300,10.82,12.01,11.38,90,94.7,92,11.92,12.85,12.38,0.31,0.53,225,0.11,323.9,64.88,0,0.03
,21,2023,4,29,400,10.68,11.36,10.93,93.5,95.2,94.4,12.12,12.71,12.33,0.3,0.51,357,0.21,25.38,45.61,0,0.01
,21,2023,4,29,500,9.86,11.02,10.4,93.9,95.2,94.6,11.53,12.47,11.92,0.28,0.28,401,0.26,21.82,22,0,0.01
,21,2023,4,29,600,9.86,10.27,10.02,95.1,96.4,96,11.56,12.03,11.79,0.28,0.29,544,0.25,354.1,26.77,1.73,0.08
